IG,IG_NT,DL,GS,FA,SA
"tensor([-0.9684,  0.0503, 11.8374, -0.0000, -0.0000, -0.0000, -0.0000,  3.5199,
        13.2023, -0.0000, -9.5764,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000],
       dtype=torch.float64)","tensor([ 0.4598,  0.0476,  3.4286,  0.0347, -3.0759, -0.0937,  0.0148,  0.5225,
         2.6488, -2.1461, -2.4332, -1.4302, -0.7998, -0.0947,  0.0353,  0.0061],
       dtype=torch.float64)","tensor([  0.2464,   1.4875,   3.0863,  -0.0000,  -0.0000,   0.0000,   0.0000,
        -12.7932,  77.7745,   0.0000,  -1.0847,   0.0000,  -0.0000,  -0.0000,
         -0.0000,  -0.0000], grad_fn=<UnbindBackward0>)","tensor([ 0.0000,  0.0431,  0.2431,  0.4685, -0.7079,  0.8823,  0.0000,  0.0000,
         0.1771,  3.9733, -0.1631,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([-0.2255,  0.1717,  2.8251,  0.0000,  0.0000,  0.0000,  0.0000,  0.9800,
         3.8265,  0.0000, -2.2797,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([2.4636e-01, 1.4875e+00, 3.0863e+00, 1.0742e-01, 6.8890e-02, 1.5471e-01,
        3.8388e-01, 1.2793e+01, 8.0709e+01, 3.1844e+00, 1.6271e+00, 6.5175e-02,
        5.4263e-01, 7.1047e-01, 7.2430e-01, 6.7731e-01])"
"tensor([ 0.0485,  0.6070,  0.0000, -2.9084, -0.0000, -0.0000, -0.0000,  0.0667,
         8.8705, -3.6937, -3.2430, -0.0000,  0.0000,  0.0000,  0.0000, -0.0000],
       dtype=torch.float64)","tensor([-0.0303,  0.2331,  0.3639, -1.9112, -1.4514, -0.2198, -0.8481,  0.7897,
         8.5363, -3.9913, -2.6436, -0.1314, -0.4346, -0.4694, -2.1936, -0.3873],
       dtype=torch.float64)","tensor([  0.0808,   0.0342,   0.0000,  -0.4147,   0.0000,   0.0000,   0.0000,
        -15.7629,  32.6995,  -1.0215,  -0.6783,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000], grad_fn=<UnbindBackward0>)","tensor([ 0.0000,  0.0626, -0.0297, -0.0172, -0.0435,  0.3837,  0.3357,  0.0000,
         0.7595, -4.0301, -0.7364,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ 0.0964,  0.1126,  0.0000,  0.0602,  0.0000,  0.0000,  0.0000,  2.0230,
         6.3231, -6.7056, -1.0302,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ 0.0808,  0.0342,  0.1111,  0.4147,  0.1020,  0.1182,  0.1816, 15.7629,
        33.3051,  2.0430,  0.8140,  0.2912,  0.1499,  0.1014,  0.0915,  0.0882])"
"tensor([ 0.1519,  0.0000,  0.0000, -0.0000, -6.7601, -1.5234, -0.0000,  1.4140,
        10.1695, -8.6315, -0.0000, -0.0000,  0.0000,  0.0000,  0.0000,  0.0000],
       dtype=torch.float64)","tensor([-3.1824,  0.0346, -0.7549, -0.8128, -4.6473, -1.1507, -1.1827,  0.0612,
         5.6787, -6.5345, -0.5784, -0.2235, -0.3032, -0.0519,  0.0363, -0.5754],
       dtype=torch.float64)","tensor([  0.8241,   0.0000,   0.0000,   0.0000, -28.2229, -13.7295,   0.0000,
         -2.2752, 122.0202,  -2.4589,  -0.0000,  -0.0000,   0.0000,   0.0000,
          0.0000,   0.0000], grad_fn=<UnbindBackward0>)","tensor([ 0.0000, -0.4653,  0.0000,  0.0279,  0.2151, -0.9908, -0.4709,  0.0000,
        -0.2153, -2.3210,  1.1204,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ 0.7004,  0.0000,  0.0000,  0.0000, -0.2910, -1.1695,  0.0000,  3.9631,
        10.6143, -2.0186,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([8.2406e-01, 3.2815e-01, 3.6915e-01, 3.2867e-01, 2.8223e+01, 1.3730e+01,
        3.2976e-01, 2.2752e+00, 1.2662e+02, 7.3767e+00, 4.5504e-01, 7.4250e-01,
        7.6337e-02, 2.1302e-01, 1.8443e-01, 1.2586e-01])"
"tensor([ 0.0766,  0.7739,  0.0000, -0.0000, -6.6918, -0.0000, -0.0000,  0.8857,
         6.6732, -0.0000, -3.9906, -0.0000, -0.0000,  0.0000,  0.0000,  0.0000],
       dtype=torch.float64)","tensor([-0.1197,  0.0664,  1.5140,  0.2264, -1.8890,  0.9498, -0.6272,  0.5313,
         8.2484, -1.1296, -4.5356, -0.1903, -1.3541, -0.1683, -0.8595, -0.5362],
       dtype=torch.float64)","tensor([ -0.5203,   1.5147,   0.0000,   0.0000, -20.7657,   0.0000,   0.0000,
         -9.6658,  96.5998,  -0.0000,   0.6844,  -0.0000,  -0.0000,  -0.0000,
         -0.0000,  -0.0000], grad_fn=<UnbindBackward0>)","tensor([ 0.0000,  0.3799, -1.7586, -0.0229,  0.1372,  0.2545,  0.0322,  0.0000,
        -1.7709,  2.1813, -0.1888,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ 0.2799,  0.7127,  0.0000,  0.0000, -5.2934,  0.0000,  0.0000,  2.4532,
         3.2674,  0.0000, -1.6252,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([5.2027e-01, 1.5147e+00, 3.1347e-01, 2.9990e-01, 2.0766e+01, 4.5447e-02,
        1.7267e-01, 9.6658e+00, 1.0217e+02, 3.4284e+00, 1.3688e+00, 1.0214e+00,
        1.0513e+00, 1.0411e+00, 1.0051e+00, 9.4259e-01])"
"tensor([ 0.2592,  0.0000,  0.0000, -0.0000, -8.6250, -1.6082, -0.0000,  0.6486,
        11.5173, -6.1765, -0.0000, -0.0000,  0.0000,  0.0000,  0.0000,  0.0000],
       dtype=torch.float64)","tensor([ 0.2621, -0.4968, -0.0405,  0.1480, -3.8149, -1.5183, -3.7119,  2.4533,
         4.7006, -5.6571,  0.2745, -0.0596, -0.3348,  0.2057, -0.2514,  0.1020],
       dtype=torch.float64)","tensor([  1.0272,   0.0000,   0.0000,   0.0000, -27.9733, -17.4902,  -0.0000,
          0.8220,  42.9633,  -1.0137,  -0.0000,  -0.0000,   0.0000,   0.0000,
          0.0000,   0.0000], grad_fn=<UnbindBackward0>)","tensor([ 0.0000, -0.1054, -0.0207,  0.0526,  0.4327, -1.2191,  1.0057,  0.0000,
         2.3881, -0.5210,  1.1669,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ 0.9922,  0.0000,  0.0000,  0.0000, -1.7142, -0.5740,  0.0000,  4.1395,
        11.4392, -5.7598,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ 1.0272,  0.5081,  0.4997,  0.4168, 27.9733, 17.4902,  0.3728,  0.8220,
        42.9633,  1.2164,  0.7498,  0.8914,  0.3176,  0.8196,  0.9610,  0.9461])"
"tensor([ -0.7238,  -0.0000,  10.7003,  -0.0000,  -0.0000,   0.0799,  -0.0000,
          4.0750,  10.2148,  -0.0000, -10.7906,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000], dtype=torch.float64)","tensor([-0.7167,  0.4160, 15.8420, -0.3674, -2.0123, -0.5660, -2.1207,  0.7221,
         2.6626, -6.1726, -1.1969, -1.4214, -4.3004, -0.7560, -0.0688, -0.8665],
       dtype=torch.float64)","tensor([ 0.2878, -0.0000,  3.7039, -0.0000, -0.0000, -8.8073,  0.0000, -9.6405,
        63.4236,  0.0000, -3.3147,  0.0000, -0.0000, -0.0000, -0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([ 0.0000, -0.0683,  1.5106,  0.0000,  0.0000, -0.5864,  4.4448,  0.0000,
        -1.2164,  7.1330,  0.3643,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([-0.1588,  0.0000,  3.3699,  0.0000,  0.0000, -2.2595,  0.0000,  0.2451,
         1.6124,  0.0000, -2.8001,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ 0.2878,  0.0984,  3.7039,  0.0863,  0.1054,  8.8073,  0.2289,  9.6405,
        67.0827,  6.7238,  6.6294,  0.1628,  0.7571,  1.0199,  1.0565,  0.9994])"
"tensor([ 0.2086,  0.0000,  0.0000, -3.1032, -0.0000, -1.6486, -0.0000, -0.1725,
         7.1737, -4.0387, -3.8030, -0.0000, -0.0000,  0.0000, -0.0000,  0.0000],
       dtype=torch.float64)","tensor([-0.1984,  0.3146,  0.1328, -2.6861, -1.0833, -0.5874, -1.4857,  0.8230,
         5.2443, -1.7968, -0.6978,  2.6299, -0.8674,  0.9131, -0.1667,  0.1966],
       dtype=torch.float64)","tensor([  0.0685,   0.0000,   0.0000,   0.0462,   0.0000, -13.6382,   0.0000,
        -14.4600,  34.3312,  -0.4521,  -0.2143,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000], grad_fn=<UnbindBackward0>)","tensor([ 0.0000, -0.0013,  0.0285,  0.3346,  0.0000, -0.2749,  0.0175,  0.0000,
         0.7271, -0.4292, -0.2964,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ 0.0547,  0.0000,  0.0000,  0.2424,  0.0000, -1.2979,  0.0000,  2.0971,
         7.0472, -5.7716, -0.3597,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ 0.0685,  0.0881,  0.0873,  0.0462,  0.0819, 13.6382,  0.1827, 14.4600,
        34.9670,  0.9042,  0.4286,  0.5083,  0.3778,  0.3324,  0.3113,  0.2935])"
"tensor([-1.8893, -0.0000, 11.3395, -0.0000, -0.0000, -2.3210, -0.0000,  0.2889,
        10.0892, -4.9698, -1.6499, -0.0000,  0.0000,  0.0000,  0.0000,  0.0000],
       dtype=torch.float64)","tensor([-0.0815, -1.3479,  4.7563, -0.6111, -0.0180, -1.2025, -0.5994,  0.8100,
         8.6350, -4.0124, -3.8571, -0.4693, -0.2370, -0.3129, -1.5573, -3.7061],
       dtype=torch.float64)","tensor([-1.2920e-01,  0.0000e+00, -9.1895e-01,  0.0000e+00,  0.0000e+00,
        -1.7415e+01,  0.0000e+00, -2.4318e+01,  1.5862e+02, -8.7575e+00,
        -2.9727e-01,  0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,
        -0.0000e+00], grad_fn=<UnbindBackward0>)","tensor([ 0.0000,  0.0197, -0.1056,  0.2326,  0.0000, -0.3416, -0.0217,  0.0000,
        -1.3917, -3.6445, -0.2528,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ -0.1770,   0.0000,  -0.3349,   0.0000,   0.0000,  -1.8386,   0.0000,
          1.5494,   1.0737, -10.1176,  -2.2137,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000])","tensor([1.2920e-01, 2.3532e-02, 9.1895e-01, 7.2906e-02, 5.4031e-02, 1.7415e+01,
        7.9077e-01, 2.4318e+01, 1.6461e+02, 1.0509e+01, 2.9727e-01, 3.4361e-01,
        4.7740e-01, 2.9981e-01, 1.1102e-01, 2.9405e-02])"
"tensor([ 0.1759,  0.4727,  0.0000, -0.0000, -0.0000, -0.0000, -4.4958, -0.2726,
         6.8807, -5.7167, -0.0000, -0.0000,  0.0000,  0.0000, -0.0000, -0.0000],
       dtype=torch.float64)","tensor([-1.5819e-01,  4.1318e-01,  3.9154e-01, -2.3113e+00,  8.9473e-02,
        -6.9854e-01, -3.8538e+00,  5.0602e-01,  6.3233e+00, -2.7036e+00,
        -1.1835e-01, -8.3297e-01, -1.6796e-03, -4.1395e-01, -1.6246e+00,
        -2.5017e-01], dtype=torch.float64)","tensor([ 9.7925e-02,  5.4549e-02,  0.0000e+00,  0.0000e+00,  0.0000e+00,
         0.0000e+00,  1.1659e+01, -1.9866e+01,  5.7303e+01,  8.6803e-02,
         0.0000e+00, -0.0000e+00, -0.0000e+00, -0.0000e+00, -0.0000e+00,
        -0.0000e+00], grad_fn=<UnbindBackward0>)","tensor([ 0.0000,  0.0055, -0.0240,  0.0321,  0.0000,  0.2109, -0.3093,  0.0000,
        -0.4471,  1.5649,  0.3981,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ 0.0801,  0.0842,  0.0000,  0.0000,  0.0000,  0.0000, -0.2717,  2.4879,
         5.5266, -6.8114,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([9.7925e-02, 5.4549e-02, 1.3095e-02, 6.8284e-03, 5.3856e-03, 7.5099e-02,
        1.1659e+01, 1.9866e+01, 5.9466e+01, 1.7361e-01, 3.9827e-01, 6.6095e-01,
        3.5013e-01, 2.0006e-01, 1.4864e-01, 1.1278e-01])"
"tensor([-0.1689, -0.0000,  0.0000, -3.2880, -0.0000, -2.2752, -0.0000, -0.6181,
         8.7451, -0.0000, -4.5783, -0.0000, -0.0000,  0.0000,  0.0000,  0.0000],
       dtype=torch.float64)","tensor([-0.0350, -0.0462,  1.4999, -2.6386,  0.1614, -1.8968, -1.1229,  0.4382,
         1.2937, -0.0110, -0.1391, -1.6201,  0.0177, -0.5621, -1.6917, -0.4666],
       dtype=torch.float64)","tensor([ -0.4750,  -0.0000,  -0.0000,  -3.6771,  -0.0000, -17.8859,  -0.0000,
        -18.7786, 115.4515,  -0.0000,  -2.2818,  -0.0000,  -0.0000,  -0.0000,
         -0.0000,  -0.0000], grad_fn=<UnbindBackward0>)","tensor([ 0.0000,  0.0849,  0.0281, -0.0238,  0.0000, -0.4200, -0.0113,  0.0000,
        -1.4988,  1.6127, -1.0787,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([-0.1575,  0.0000,  0.0000, -0.9226,  0.0000, -2.3949,  0.0000,  0.8312,
         3.3901,  0.0000, -3.2719,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([4.7500e-01, 4.0018e-02, 7.1807e-03, 3.6771e+00, 1.2324e-02, 1.7886e+01,
        1.0282e-01, 1.8779e+01, 1.2211e+02, 2.5925e+00, 2.2818e+00, 1.2873e+00,
        1.6668e+00, 1.5996e+00, 1.5439e+00, 1.4367e+00])"
