IG,IG_NT,DL,GS,FA,SA
"tensor([-82.5947, -25.5370, -20.6514,  -0.0000,   0.0000,  -0.0000,  -0.0000,
        -89.9997, 253.5457,  -0.0000, -13.5224,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000], dtype=torch.float64)","tensor([-15.2963,  -2.2171,  -0.9836,  -0.3498,  -1.5695,  -4.9739,  -2.0062,
         -7.4747,  60.8886,  -8.6946,  -2.9870,  -1.7292,   1.3679,  -2.1238,
          0.0776,   1.6320], dtype=torch.float64)","tensor([-24.0708,  -7.9738,  -0.6395,   0.0000,  -0.0000,  -0.0000,   0.0000,
        -36.4076,  72.1526,  -0.0000,  -3.4305,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000], grad_fn=<UnbindBackward0>)","tensor([ 0.0000,  0.4323,  1.8767,  0.5101,  0.7993,  0.8206,  0.0000,  0.0000,
         0.3275,  5.1172, -0.4800,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ -3.5044,  -1.4926,   2.2622,   0.2966,   0.3491,   0.5511,   0.1088,
         -2.5338,  16.5520,  -0.4748, -26.8318,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000])","tensor([21.3218,  6.6110,  0.8073,  2.9093,  0.1183,  1.9327,  0.9253, 30.7884,
        64.1305, 28.2675,  3.5455,  4.3144,  7.0823,  4.4513,  6.9189,  1.3827])"
"tensor([-46.1537, -13.4520,  -0.0000, -14.2307,  -0.0000,   0.0000,  -0.0000,
        -57.5415, 151.3416,  -6.6116,  -2.2898,   0.0000,   0.0000,  -0.0000,
         -0.0000,  -0.0000], dtype=torch.float64)","tensor([-6.4447e-01,  5.9982e-01, -1.1258e+00, -6.4869e-01, -2.4181e-01,
         3.2907e-02,  4.5887e-03,  3.4067e+00,  1.0189e+01, -2.6915e+00,
        -2.4102e+00, -4.4342e-01,  1.1819e+00, -1.5539e+00,  1.0546e+00,
         3.3080e-01], dtype=torch.float64)","tensor([-5.6297, -0.8438,  0.0000, -1.7608, -0.0000, -0.0000, -0.0000, -9.3396,
        20.4869, -0.8345, -1.5709, -0.0000,  0.0000, -0.0000,  0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([ 0.0000,  0.2035, -0.1782, -0.3388,  0.2267,  1.0626,  1.2618,  0.0000,
         0.6117, -2.3995, -1.0270,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([-6.8885, -0.5840,  0.0410, -0.2689,  0.1136,  0.2331,  0.1418, -7.9768,
         7.5280, -5.8604, -1.3065,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ 7.5997,  1.3039,  1.0971,  1.1887,  0.6080,  0.4600,  0.0458, 11.2460,
        22.4351,  0.6341,  0.4239,  1.2730,  1.8185,  0.5989,  0.1196,  1.0990])"
"tensor([-100.0418,    0.0000,    0.0000,    0.0000,  -44.1970,  -34.4865,
           0.0000, -111.9907,  323.6068,  -26.5896,   -0.0000,    0.0000,
           0.0000,    0.0000,    0.0000,   -0.0000], dtype=torch.float64)","tensor([ 8.0519e+00, -8.8004e-01, -9.4420e-01,  5.1868e-01, -1.1460e+00,
        -8.5604e-01, -4.1720e-01, -2.9233e+00,  1.5517e+01, -3.9138e+00,
         2.1430e+00,  1.4514e-02, -6.3309e+00, -3.3249e-02, -6.8394e-01,
        -7.7350e-01], dtype=torch.float64)","tensor([-22.6016,   0.0000,   0.0000,   0.0000,  -3.8979,  -7.7899,  -0.0000,
        -30.5766,  72.7200,  -7.0317,  -0.0000,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000], grad_fn=<UnbindBackward0>)","tensor([ 0.0000,  0.5192,  0.0000,  0.9712, -1.9403, -2.4282,  0.8059,  0.0000,
        -0.5935, -1.0429,  1.6275,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([-12.6382,   0.5781,   0.1021,   0.4861,  -0.6202,  -4.8355,   0.3019,
        -11.9332,   6.1903,  -8.1895,   0.6994,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000])","tensor([16.9621,  3.8897,  7.3917,  4.7156,  9.1434,  8.5212,  3.2095, 12.0802,
        62.8463, 42.6507, 24.5228,  2.8116,  6.9505,  5.2284, 10.3295,  5.5467])"
"tensor([ -72.5749,  -33.2232,    0.0000,    0.0000,  -58.9950,    0.0000,
           0.0000, -113.9955,  301.7536,   -0.0000,  -15.9489,    0.0000,
           0.0000,    0.0000,   -0.0000,    0.0000], dtype=torch.float64)","tensor([-3.6152, -1.3852,  0.2614,  0.5677, -6.5263,  0.6751, -1.5122,  1.2913,
        28.2625, -1.7122,  2.5552, -1.0666, -0.7130, -3.7674,  0.7415, -4.5838],
       dtype=torch.float64)","tensor([-37.1996, -10.8169,  -0.0000,   0.0000, -16.8744,  -0.0000,  -0.0000,
        -60.5302, 128.8361,   0.0000,  -2.3535,  -0.0000,  -0.0000,   0.0000,
         -0.0000,  -0.0000], grad_fn=<UnbindBackward0>)","tensor([ 0.0000, -0.7789,  0.1362,  0.2303, -0.7750,  1.3136,  0.2656,  0.0000,
        -0.5301,  2.7019, -0.1070,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([-10.2181,  -5.4063,   0.0610,   0.2455,  -5.4855,  -0.0746,  -0.0860,
        -10.7373,   7.8207,  -0.0688,  -9.8525,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000])","tensor([18.1839,  9.5166,  3.6708,  0.7726, 20.1219,  4.0591,  5.6257, 18.2275,
        77.3861, 28.6007, 14.3559,  6.4308,  3.6868,  1.6329,  6.3648,  1.7522])"
"tensor([-60.2080,   0.0000,  -0.0000,  -0.0000,  -6.0269, -11.4883,  -0.0000,
        -78.5732, 167.2363,   1.0555,   0.0000,  -0.0000,   0.0000,  -0.0000,
         -0.0000,  -0.0000], dtype=torch.float64)","tensor([  9.7140,   0.4588,  -0.6281,   0.6213,   3.3075,  -1.1784,   1.1490,
         19.0029, -29.6620,  -0.1079,   3.6869,  -1.9288,  -6.5180,   5.0170,
          0.3374,   0.6970], dtype=torch.float64)","tensor([ -3.2257,   0.0000,  -0.0000,  -0.0000,  -1.4585,  -2.8648,  -0.0000,
        -10.1857,  19.0473,   0.1184,   0.0000,  -0.0000,   0.0000,  -0.0000,
         -0.0000,  -0.0000], grad_fn=<UnbindBackward0>)","tensor([ 0.0000, -0.1246,  0.0419,  0.0729,  0.4202, -0.7872,  0.0270,  0.0000,
         0.6153, -0.7431,  0.9251,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([-11.8576,   0.3390,   0.0534,   0.3203,  -0.5213,  -3.0117,   0.1843,
        -10.0749,   6.9701, -11.5179,  -0.3441,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000])","tensor([ 6.1788,  0.4518,  0.6053,  0.4378,  1.3139,  2.8763,  1.2312, 11.5875,
        22.4157,  0.4596,  0.4547,  0.7518,  1.1037,  0.7771,  1.2827,  0.2187])"
"tensor([-107.8692,    0.0000,  -37.5748,    0.0000,   -0.0000,  -57.2255,
          -0.0000, -122.4844,  361.0689,   -0.0000,  -14.7048,    0.0000,
           0.0000,   -0.0000,    0.0000,    0.0000], dtype=torch.float64)","tensor([-10.6206,  -4.5392,  -3.9434,  -1.1836,  -5.0589, -20.9352,  -2.6304,
        -23.1883,  82.8244,   4.2633,   2.9705,  -0.7045,  -7.0758,  -2.3088,
          1.4156,  -3.7944], dtype=torch.float64)","tensor([-29.5502,   0.0000,  -5.8251,   0.0000,  -0.0000,  -9.4346,   0.0000,
        -31.0357,  79.1448,  -0.0000,  -4.1304,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000], grad_fn=<UnbindBackward0>)","tensor([ 0.0000,  0.2398,  0.2880,  0.0000,  0.0000, -1.3844,  0.7975,  0.0000,
        -0.4006,  9.6041,  0.8394,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ -6.0846,   0.4173,   1.5354,   0.2684,   0.3285,  -4.6654,   0.0940,
         -2.1931,  13.4554,  -0.5148, -29.2136,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000])","tensor([23.8852,  1.2632,  3.9585,  4.5941,  0.7297,  8.8982,  2.5100, 27.3418,
        71.5560, 24.3897,  7.1846,  3.6141,  4.9003,  4.2470,  2.1089,  0.6779])"
"tensor([-47.4778,   0.0000,  -0.0000, -13.1840,  -0.0000, -14.1296,  -0.0000,
        -65.3469, 147.0563,   0.5047,   3.5142,  -0.0000,   0.0000,  -0.0000,
         -0.0000,  -0.0000], dtype=torch.float64)","tensor([-1.9682,  0.2925,  0.0975, -0.4624, -0.4255, -0.1213,  1.0463,  6.6996,
        -3.8294, -3.5577,  0.4844,  0.9097,  1.9197,  2.0686, -0.4015, -0.0599],
       dtype=torch.float64)","tensor([-1.0570e+01,  0.0000e+00, -0.0000e+00, -3.1734e+00, -0.0000e+00,
        -4.1792e+00, -0.0000e+00, -1.5612e+01,  3.3508e+01,  5.9261e-02,
         1.6164e-02, -0.0000e+00,  0.0000e+00, -0.0000e+00,  0.0000e+00,
        -0.0000e+00], grad_fn=<UnbindBackward0>)","tensor([ 0.0000,  0.3173,  0.2219,  0.0121,  0.0000, -0.5613,  0.5923,  0.0000,
         0.1714, -0.1635, -0.1063,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([-7.4631,  0.1030,  0.0317, -0.6457,  0.0528, -2.3879,  0.1131, -8.1074,
         6.1902, -5.6801, -0.6199,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([1.1450e+01, 8.2859e-01, 6.1651e-01, 2.3553e+00, 4.3017e-01, 3.4662e+00,
        8.6868e-03, 1.5090e+01, 3.3108e+01, 5.4038e-02, 4.8859e-02, 1.3361e+00,
        2.8145e+00, 1.9525e+00, 3.5412e-01, 2.6725e+00])"
"tensor([-152.0237,   -0.0000,  -40.9341,   -0.0000,    0.0000,  -38.8550,
          -0.0000, -136.4561,  379.0984,   -2.5979,   -5.3504,    0.0000,
           0.0000,   -0.0000,   -0.0000,    0.0000], dtype=torch.float64)","tensor([-1.7207e+00, -1.8572e+00, -1.7265e+00, -6.2302e-02, -1.4865e+01,
        -3.3221e+01, -2.8154e+00,  2.2331e+01,  8.5708e+01, -1.0662e+01,
        -1.0018e+01, -9.2211e-01, -2.6664e+00, -7.4145e-01, -4.4280e+00,
        -1.4323e+01], dtype=torch.float64)","tensor([-35.2763,  -0.0000,  -8.2234,  -0.0000,   0.0000, -10.1924,  -0.0000,
        -31.3660,  85.4374,   0.9339,  -1.9425,   0.0000,   0.0000,  -0.0000,
         -0.0000,   0.0000], grad_fn=<UnbindBackward0>)","tensor([ 0.0000,  0.8041, -0.5652,  0.6344,  0.0000, -1.4430,  1.0321,  0.0000,
        -0.9183, -6.0639, -0.4580,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([-11.0017,   0.1497,   0.0586,   0.0777,  -0.0564,  -2.8291,  -0.0785,
         -8.4165,   5.3747,  -9.1562,  -1.3875,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000])","tensor([ 41.4551,   2.7839,   8.5514,   4.3639,   4.1327,  11.5049,   6.2189,
         36.5175, 101.8757,   0.2848,   0.3298,   5.1729,   2.6951,   3.4575,
          0.6986,   1.1777])"
"tensor([-50.8642, -13.0253,  -0.0000,   0.0000,  -0.0000,   0.0000, -14.3926,
        -54.5854, 166.2453, -16.4317,  -0.0000,  -0.0000,   0.0000,  -0.0000,
         -0.0000,  -0.0000], dtype=torch.float64)","tensor([-1.2265, -0.3391, -0.5975, -1.0013,  0.6350,  0.6032, -2.0105, -0.5708,
        29.6983, -7.5477,  3.5468,  0.4687, -4.4867, -1.9022, -3.4128, -0.6298],
       dtype=torch.float64)","tensor([ 2.5483,  0.6994,  0.0000,  0.0000,  0.0000, -0.0000, -3.1386,  5.1794,
        -4.2352, -0.0582,  0.0000, -0.0000,  0.0000, -0.0000, -0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([ 0.0000, -0.6198,  0.1436, -0.0672,  0.0000,  1.9093, -1.1969,  0.0000,
        -0.3419,  0.4489,  0.1674,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ -7.2259,  -0.9746,  -0.0223,   0.1730,   0.0222,   0.0972,  -1.2766,
         -7.5467,   6.7645, -15.2743,  -0.5540,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000])","tensor([ 9.1374,  1.9599,  1.1383,  1.0421,  1.0945,  0.7988,  2.5990, 10.3358,
        25.6510,  1.0079,  2.9240,  1.9453,  3.9945,  1.3773,  1.5312,  4.1571])"
"tensor([-116.5284,    0.0000,    0.0000,  -38.7822,   -0.0000,  -38.2389,
          -0.0000, -121.9982,  339.2274,   -0.0000,  -12.6520,    0.0000,
           0.0000,   -0.0000,    0.0000,    0.0000], dtype=torch.float64)","tensor([-12.3575,  -0.7894,  -1.3254,  -1.5457,  -0.8359,  -7.6271,  -1.4219,
        -10.6030,  51.2232,  -6.2984,  -1.3722,  -0.1274,  -0.1297,   0.4809,
         -1.5912,  -0.2046], dtype=torch.float64)","tensor([-28.7075,   0.0000,   0.0000,  -8.1858,   0.0000,  -8.7228,   0.0000,
        -31.7709,  80.3727,  -0.0000,  -3.9839,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000], grad_fn=<UnbindBackward0>)","tensor([ 0.0000,  0.9529,  0.0779,  0.1791,  0.0000, -1.0932,  1.2123,  0.0000,
        -0.8473,  1.0650, -0.6054,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ -4.2756,   0.3146,   0.0832,  -1.7040,   0.2268,  -2.2814,   0.1657,
         -5.4244,   8.9958,   0.1634, -13.1360,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000])","tensor([27.6442,  1.4791,  4.0797,  8.5007,  0.1892,  8.7247,  0.2944, 29.4405,
        82.0387, 19.5176,  3.3687,  2.4155,  1.9910,  0.8182,  3.3080,  0.6380])"
