IG,IG_NT,DL,GS,FA,SA
"tensor([-3.1472, -2.1168, -0.0000,  0.0000,  4.3499, -0.0000, -0.1163, -1.7269,
        -0.0000, -0.0000, -0.0000, -6.4741,  0.0000, -0.0000, -0.0000,  0.0000],
       dtype=torch.float64)","tensor([ 1.1289, -0.1944,  0.1030, -3.6319, -5.5447,  0.2640,  1.6768, -1.0967,
        -0.3719, -0.5755, -5.2270, -1.0835, -0.2093, -0.7886,  0.6999, -0.0543],
       dtype=torch.float64)","tensor([-0.0949, -0.0102,  0.0000,  0.0000, -0.0185, -0.0000, -0.0188,  0.0289,
        -0.0000, -0.0000, -0.0000,  0.9677, -0.0000, -0.0000, -0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([-4.2071e+00, -9.2559e-01,  0.0000e+00,  2.1024e-02,  5.4807e-01,
         1.5006e-01, -1.7423e+00, -8.3187e-02,  1.1194e-01,  0.0000e+00,
         9.7560e-01, -2.2838e-03, -6.8147e-02,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([-3.2965, -0.9835,  0.0000,  0.0000,  8.3037,  0.0000, -0.0167, -3.0593,
         0.0000,  0.0000,  0.0000,  0.5877,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([0.0949, 0.0102, 0.3034, 0.7231, 0.0185, 1.8684, 0.0188, 0.0289, 0.0115,
        0.0227, 0.0060, 0.9677, 0.0140, 0.0258, 0.0316, 0.0418])"
"tensor([-0.0000, -0.0000,  0.0000,  0.0000,  1.8751, -0.0000,  0.0000, -0.0000,
        -1.7198, -0.0000, -0.0000, -8.2296,  0.0000, -0.0000, -0.0000,  0.0000],
       dtype=torch.float64)","tensor([-4.4611e-02, -5.4684e-01,  4.6503e-02,  1.6431e+00,  2.1019e+00,
         2.2802e+00,  2.0674e-03, -2.6548e-01,  1.9470e+00, -6.7930e-01,
        -1.8167e+01, -1.4037e+00,  3.5831e-01, -1.1970e+00, -6.2029e-01,
        -1.0567e-01], dtype=torch.float64)","tensor([-0.0000, 0.0000, 0.0000, 0.0000, 0.0568, -0.0000, -0.0000, 0.0000, 0.0026,
        -0.0000, -0.0000, 0.9139, -0.0000, -0.0000, -0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([ 1.6343,  0.7452,  0.2536, -0.1504,  7.8009,  6.4589,  0.2485,  0.0000,
         2.9622, -0.5599,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ 0.0000,  0.0000,  0.0000,  0.0000,  9.1914,  0.0000,  0.0000,  0.0000,
        -2.8992,  0.0000,  0.0000,  1.3706,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([9.4073e-02, 1.5477e-01, 3.5971e-01, 1.1902e+00, 5.6764e-02, 3.3581e+00,
        5.8666e-02, 3.3243e-02, 2.5581e-03, 2.4955e-02, 1.1121e-02, 9.1391e-01,
        1.9835e-02, 2.7212e-02, 2.8130e-02, 3.0402e-02])"
"tensor([-2.9265, -2.0409, -0.6459,  0.0000,  0.0000, -0.0000,  0.0000, -0.0000,
        -0.0000, -1.8173, -0.0000, -0.2285,  0.0000, -0.0000, -0.0000,  0.0000],
       dtype=torch.float64)","tensor([ 6.0114, -0.6105, -0.3275,  0.9649,  2.1100,  4.0797, -0.9647, -5.7430,
        -1.1815, 39.7283, -1.6191, -3.9627, -3.3970,  0.5905,  0.1387, -0.4927],
       dtype=torch.float64)","tensor([-0.0927, -0.0590, -0.0573, -0.0000,  0.0000,  0.0000, -0.0000,  0.0000,
         0.0000, -0.0626,  0.0000,  4.0459,  0.0000,  0.0000, -0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([ 2.3835e-02,  7.5177e-02, -1.0491e-02, -1.9162e-01, -2.0842e+01,
         1.3407e+01, -7.9539e-02,  3.2292e+00,  4.2831e-02,  4.2039e+00,
        -1.9330e+00,  5.3817e-02,  0.0000e+00,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([-2.5385, -0.6672,  0.2112,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,
         0.0000, -2.7833,  0.0000, -3.5137,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([9.2727e-02, 5.9015e-02, 5.7290e-02, 6.5035e-01, 5.9238e-01, 1.9326e-01,
        4.2259e-03, 2.6321e-02, 1.3232e-02, 6.2608e-02, 9.7901e-03, 4.0459e+00,
        1.8563e-02, 8.5056e-04, 5.2844e-03, 1.7110e-02])"
"tensor([-3.4903, -0.0000, -0.0000,  0.0000,  3.9445, -1.2524,  0.0000, -0.0000,
        -0.0000, -1.4911, -0.0000,  5.9204,  0.0000, -0.0000, -0.0000,  0.0000],
       dtype=torch.float64)","tensor([-0.8142, -0.7068,  0.0747, -1.7080,  2.1069, -8.9414, -0.0329,  1.2303,
        -0.3005, -7.8099, -6.3401, -0.3619, -0.2932,  2.2499, -0.2866, -0.8264],
       dtype=torch.float64)","tensor([ 0.0585,  0.0000,  0.0000, -0.0000,  0.0113, -0.0066, -0.0000, -0.0000,
        -0.0000, -0.0382,  0.0000,  4.3300, -0.0000, -0.0000,  0.0000,  0.0000],
       grad_fn=<UnbindBackward0>)","tensor([-2.8992e+00,  1.3266e-01,  2.2735e-02,  3.5921e-01,  3.4774e+00,
        -2.2276e+00, -9.9585e-04, -1.1205e-01,  0.0000e+00, -1.5853e-01,
         2.2826e+00, -1.2174e-01,  3.6587e-02,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([-2.2269,  0.0000,  0.0000,  0.0000,  5.8178, -9.5739,  0.0000,  0.0000,
         0.0000, -2.8669,  0.0000, -9.1599,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([5.8464e-02, 2.8204e-02, 2.2984e-01, 9.0586e-01, 1.1350e-02, 6.6021e-03,
        9.9756e-02, 6.2824e-02, 3.9157e-02, 3.8224e-02, 1.2510e-02, 4.3300e+00,
        2.8577e-02, 3.1943e-03, 3.6461e-03, 1.0239e-02])"
"tensor([-0.0000, -4.0341,  0.0000, -0.0524,  0.0000, -0.0000,  0.0000, -0.0000,
        -0.0000, -1.4666, -0.0000, -0.0000,  1.3467, -0.0000, -0.0000,  0.0000],
       dtype=torch.float64)","tensor([-0.6286, -0.5123, -0.0415,  8.9085,  0.2416, -0.9949,  0.1472, -0.5982,
        -2.0197, -7.2609,  3.3768,  0.2702, 14.5204,  0.8924,  0.6182, -0.1620],
       dtype=torch.float64)","tensor([ 0.0000,  0.0495,  0.0000, -0.0631,  0.0000, -0.0000, -0.0000,  0.0000,
         0.0000, -0.0214,  0.0000,  0.0000, -1.3714,  0.0000,  0.0000,  0.0000],
       grad_fn=<UnbindBackward0>)","tensor([ 3.2797e+00, -6.1969e+00, -2.1341e+00,  5.0781e+00, -4.6401e+00,
         2.5233e+00,  0.0000e+00, -5.4748e+00,  0.0000e+00, -1.4601e+02,
        -1.9475e-02, -3.0039e-03,  5.4847e-01,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([ 0.0000, -0.8663,  0.0000, 15.5058,  0.0000,  0.0000,  0.0000,  0.0000,
         0.0000, -2.8730,  0.0000,  0.0000, 31.8668,  0.0000,  0.0000,  0.0000])","tensor([5.8182e-01, 4.9544e-02, 4.8443e-01, 6.3105e-02, 1.6663e+00, 2.5047e-01,
        5.8411e-02, 2.1205e-02, 4.3223e-03, 2.1359e-02, 1.1336e-02, 1.6294e-03,
        1.3714e+00, 5.1855e-03, 6.7928e-03, 9.1055e-03])"
"tensor([ -0.0000,  -0.0000,  -1.1541,   0.7987,   0.0000,  -1.2135,  -0.0000,
         -0.0000,  -0.0000,  -1.5866, -10.6554,   0.0000,   0.0000,  -0.0000,
         -0.0000,   0.0000], dtype=torch.float64)","tensor([-1.1689e-01, -6.8287e-01, -7.7824e+00,  1.3625e+01,  1.5477e+00,
        -2.8062e+00, -1.0210e+00,  3.6633e-02,  1.5042e-01, -3.5323e+00,
        -3.9055e+00, -3.8786e+00,  3.8700e-01,  3.6251e-01,  9.1234e-03,
         3.3300e+00], dtype=torch.float64)","tensor([ 0.0000,  0.0000,  0.0110, -0.0182, -0.0000, -0.0407, -0.0000, -0.0000,
        -0.0000, -0.0552,  0.0368, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([ 0.0235,  0.0158,  0.1208, -0.0492, -0.7567,  0.1825,  5.1771, -0.0225,
        -0.0417,  0.0407,  7.6720,  0.0490, -0.0093,  0.0000,  0.0000,  0.0000])","tensor([  0.0000,   0.0000,  -0.0569,   0.7272,   0.0000,   0.0249,   0.0000,
          0.0000,   0.0000,  -2.7705, -24.8257,   0.0000,   0.0000,   0.0000,
          0.0000,   0.0000])","tensor([0.0912, 0.0478, 0.0110, 0.0182, 0.1649, 0.0407, 0.0861, 0.0060, 0.0095,
        0.0552, 0.0368, 0.0077, 0.0090, 0.0079, 0.0107, 0.0156])"
"tensor([-2.8025, -1.8717, -0.0000,  0.0000,  4.3341, -1.1578,  0.0000, -0.0000,
        -0.0000, -1.8987, -0.0000,  2.1835,  0.0000, -0.0000, -0.0000,  0.0000],
       dtype=torch.float64)","tensor([-3.8665, -1.2537, -0.3266, -0.0521,  6.3988,  0.9621, -0.9476,  0.1523,
         3.2475, -0.3434, -1.5172, -0.8135,  3.1461,  0.9516,  0.5097, -0.2805],
       dtype=torch.float64)","tensor([ 0.0508,  0.0380,  0.0000, -0.0000,  0.0047, -0.0047, -0.0000, -0.0000,
        -0.0000, -0.0711,  0.0000,  4.4406, -0.0000, -0.0000,  0.0000,  0.0000],
       grad_fn=<UnbindBackward0>)","tensor([-1.9519e+00,  4.0267e-02,  1.3789e-01,  1.2799e-01,  2.9122e-02,
        -2.8804e+00, -1.5078e+00,  1.1123e+01,  9.6565e-03,  1.1268e+00,
         0.0000e+00, -1.0247e-02, -3.2409e-04,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([-2.2414, -0.7067,  0.0000,  0.0000,  5.6581, -9.3278,  0.0000,  0.0000,
         0.0000, -2.8889,  0.0000, -8.5608,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([5.0783e-02, 3.8023e-02, 2.8490e-01, 7.5214e-01, 4.7078e-03, 4.6786e-03,
        1.6333e-01, 6.5742e-02, 4.4397e-02, 7.1084e-02, 8.4492e-03, 4.4406e+00,
        3.7338e-02, 7.7880e-03, 1.2930e-03, 1.1708e-02])"
"tensor([-0.0000, -2.2963, -0.8956,  0.0000,  4.1967, -1.1811,  0.0000, -0.0000,
        -0.0000, -1.5396, -0.0000,  2.3442,  0.0000, -0.0000, -0.0000,  0.0000],
       dtype=torch.float64)","tensor([-0.1424,  0.5843, -1.0436, -0.4842,  0.0838, -0.6883, -0.3123, -0.9218,
        -0.5166,  4.3334, -2.6371, -3.3201,  7.2391, -1.3013, -0.3663, -0.6051],
       dtype=torch.float64)","tensor([ 0.0000e+00,  4.5640e-03,  2.4864e-02, -0.0000e+00, -1.3974e-03,
        -2.0580e-03, -0.0000e+00, -0.0000e+00, -0.0000e+00, -7.3112e-02,
         0.0000e+00,  4.5817e+00, -0.0000e+00, -0.0000e+00,  0.0000e+00,
         0.0000e+00], grad_fn=<UnbindBackward0>)","tensor([ 9.2061e+00, -1.1714e-01, -5.0716e-02, -3.8557e+00, -8.5490e+00,
        -4.2847e-02,  1.4615e+01, -1.8953e-02,  0.0000e+00, -5.3137e-02,
         0.0000e+00,  3.5798e+01, -9.8270e-03,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([  0.0000,  -0.7049,  -0.0166,   0.0000,   5.7868, -10.6049,   0.0000,
          0.0000,   0.0000,  -2.8566,   0.0000,  -8.4597,   0.0000,   0.0000,
          0.0000,   0.0000])","tensor([1.8642e-01, 4.5640e-03, 2.4864e-02, 3.8555e-01, 1.3974e-03, 2.0580e-03,
        8.1408e-02, 3.5437e-02, 2.7611e-02, 7.3112e-02, 1.9537e-02, 4.5817e+00,
        3.0534e-02, 1.2297e-04, 8.6449e-03, 1.8241e-02])"
"tensor([-3.1451, -2.1221, -0.0000,  0.0000,  4.3514, -0.0000, -0.1098, -0.0000,
        -1.5620, -0.0000, -0.0000, -6.6931,  0.0000, -0.0000, -0.0000,  0.0000],
       dtype=torch.float64)","tensor([-1.1516, -0.8934, -0.1162,  1.2305,  1.4471,  5.3306, -7.9782,  0.3413,
        -1.5217, -0.1141, -3.1071, -0.7957, -2.6157, -0.5431, -0.8763, -1.8357],
       dtype=torch.float64)","tensor([-0.0925, -0.0077,  0.0000,  0.0000, -0.0146, -0.0000, -0.0136,  0.0000,
        -0.0094, -0.0000, -0.0000,  1.0539, -0.0000, -0.0000, -0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([-7.2289e-01, -2.1729e-02, -2.5847e-02, -3.1002e-01,  8.5472e-01,
         1.1983e+01,  3.2613e-02, -8.4510e+00,  2.2620e+01,  7.5558e-02,
        -4.2184e-01,  3.5766e+01, -3.9870e-03,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([-3.2875, -0.9798,  0.0000,  0.0000,  8.0890,  0.0000, -0.0148,  0.0000,
        -3.0085,  0.0000,  0.0000,  0.5552,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([0.0925, 0.0077, 0.2556, 0.6153, 0.0146, 1.4884, 0.0136, 0.0090, 0.0094,
        0.0237, 0.0050, 1.0539, 0.0115, 0.0221, 0.0263, 0.0345])"
"tensor([-3.0738, -0.0000, -0.7729,  0.9641, -0.0000, -0.9977,  0.0000, -0.0000,
        -1.6538, -0.0000, -0.0000, -2.0533,  0.0000, -0.0000, -0.0000,  0.0000],
       dtype=torch.float64)","tensor([-2.4569, -0.5630, -0.2554,  5.1529,  0.5540, -2.4343, -0.0432,  0.0789,
        -0.7610, -0.6566,  0.3693, -0.2018, -1.1228,  0.2086, -4.8994,  0.1262],
       dtype=torch.float64)","tensor([-0.0155, -0.0000,  0.0036, -0.0626, -0.0000, -0.0065, -0.0000, -0.0000,
        -0.0473, -0.0000,  0.0000, -0.4406, -0.0000, -0.0000, -0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([-7.0718e-01,  7.8177e-02, -1.0305e-02, -6.3189e-02,  4.1920e-01,
        -1.0075e-01, -4.9518e-03, -9.5980e-02, -1.3715e-01,  6.9516e-02,
        -8.7361e+00, -4.1993e-02, -1.2868e+00,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([-2.0908,  0.0000, -0.0117,  7.9982,  0.0000, -7.4341,  0.0000,  0.0000,
        -2.9061,  0.0000,  0.0000, -3.9245,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([1.5462e-02, 3.2354e-01, 3.5513e-03, 6.2617e-02, 1.5956e+00, 6.5304e-03,
        2.7910e-02, 4.8304e-02, 4.7252e-02, 2.5845e-02, 1.5891e-03, 4.4060e-01,
        6.4926e-03, 8.1207e-03, 7.7322e-03, 1.0161e-02])"
