IG,IG_NT,DL,GS,FA,SA
"tensor([-9.8356, -3.4896,  0.0000,  0.0000, 23.1834, -0.0000, -0.2842, -0.8517,
         0.0000,  0.0000, -0.0000,  2.2724,  0.0000, -0.0000, -0.0000,  0.0000],
       dtype=torch.float64)","tensor([ -3.7806,  -2.1423,   0.8307,   5.1157,  17.5632,  -8.2249,  -0.3284,
         -0.3531,   0.2742,   0.3668, -18.7447,   6.7596,  -1.1828,   3.4054,
         -1.4080,  -0.5103], dtype=torch.float64)","tensor([-2.0575, -1.4938,  0.0000,  0.0000,  4.6904, -0.0000, -1.0672, -0.4353,
         0.0000, -0.0000, -0.0000,  0.7367,  0.0000, -0.0000, -0.0000,  0.0000],
       grad_fn=<UnbindBackward0>)","tensor([ -2.4479,  -0.8401,   0.0000,  -2.3648,   1.0577,  14.7315,  -0.1378,
          0.0427,  -0.2620,   0.0000,   1.7583,   1.6380, -11.0789,   0.0000,
          0.0000,   0.0000])","tensor([-3.1566e+00, -7.5588e-01, -3.6442e-02, -3.7701e-02,  8.2435e+00,
         6.9164e-02, -7.5283e-02, -2.8027e-02,  4.0855e-03,  2.6279e-02,
        -2.0139e-01,  3.1329e+00, -1.1828e-01,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([ 3.7959,  1.1612,  0.3100,  9.2420,  4.8694,  7.9281,  0.2050,  0.1675,
         0.0598,  0.1421, 13.1278,  0.5083, 11.3646,  0.2126,  0.3416,  0.2156])"
"tensor([-0.0000, -0.0000,  0.0000,  0.0000, 22.6891, -0.0000,  0.0000,  0.0000,
         0.1588,  0.0000, -0.0000, -7.6541,  0.0000, -0.0000, -0.0000,  0.0000],
       dtype=torch.float64)","tensor([ 0.6506,  0.2499, -0.4954,  0.1895,  9.3372,  4.0259,  0.0643,  0.1019,
        -0.1310, -0.3999,  1.8324, -0.4176, -1.3014, -1.9780,  1.7757, -2.0790],
       dtype=torch.float64)","tensor([-0.0000, -0.0000,  0.0000,  0.0000,  4.5076, -0.0000, -0.0000, -0.0000,
        -0.2662, -0.0000, -0.0000, -3.4423,  0.0000,  0.0000, -0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([ 1.0872,  0.3836, -0.1186, -1.3553,  4.3329,  8.2049,  0.0327,  0.0000,
        -0.0482,  0.0262,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([-0.0589,  0.0423, -0.0611, -0.0274,  8.8616,  0.1375, -0.0121,  0.0146,
        -0.2190,  0.0252, -0.1708, -3.6927, -0.0265,  0.0000,  0.0000,  0.0000])","tensor([ 2.3380,  0.0188,  0.5521, 10.0205,  4.4652,  8.3770,  0.2335,  0.0981,
         0.5766,  0.2372, 16.0117,  3.6698, 17.1786,  0.3695,  2.4401,  0.1582])"
"tensor([-7.0990, -2.6666,  0.6923,  0.0000,  0.0000, -0.0000,  0.0000, -0.0000,
         0.0000,  1.0767, -0.0000, 11.9537,  0.0000,  0.0000, -0.0000,  0.0000],
       dtype=torch.float64)","tensor([-3.7611, -2.2239,  0.1983, -4.8462,  3.4145,  3.2242, -1.4358,  0.0572,
        -0.3225, -0.1595,  0.3862, -0.7806, 12.4943, -1.1027,  1.5763,  0.7607],
       dtype=torch.float64)","tensor([-0.8074, -1.2732,  0.5153,  0.0000,  0.0000, -0.0000, -0.0000,  0.0000,
         0.0000, -0.4280, -0.0000,  2.9626,  0.0000,  0.0000, -0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([-1.5057e+00, -3.7230e-01,  5.6416e-02, -1.8546e+00, -4.9859e+00,
         5.9757e+00,  3.0207e-03, -2.0158e-01, -9.3128e-04,  2.7074e-01,
         4.1281e+00,  3.8571e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([-2.5297, -0.7821,  0.1867, -0.0485,  0.0273,  0.0460, -0.0446,  0.0390,
         0.0135,  0.2980, -0.1227, 12.3133, -0.1133,  0.0000,  0.0000,  0.0000])","tensor([2.6772e+00, 1.1158e+00, 2.0207e-01, 1.0021e+01, 9.6103e+00, 7.8988e+00,
        8.9212e-03, 1.4086e-02, 1.7564e-01, 3.2932e-01, 1.7173e+01, 3.2697e+00,
        6.0908e+00, 3.6062e-01, 7.8434e-01, 3.0364e-01])"
"tensor([ -7.9469,  -0.0000,  -0.0000,   0.0000,  22.2687, -25.2315,  -0.0000,
         -0.0000,   0.0000,   0.7627,  -0.0000,  13.1484,   0.0000,   0.0000,
         -0.0000,   0.0000], dtype=torch.float64)","tensor([ -5.3348,  -0.6899,  -0.3804,  -9.2522,   6.2551, -12.4454,   0.0262,
          0.2495,  -0.1682,   0.3933,   8.2978,   4.1359,   7.7942,   1.7391,
          5.3286,   0.0916], dtype=torch.float64)","tensor([-0.6490, -0.0000,  0.0000,  0.0000,  4.5510, -4.9139, -0.0000, -0.0000,
         0.0000, -0.4320, -0.0000,  4.8046,  0.0000,  0.0000, -0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([-1.6135,  0.0649,  0.1017, -7.4706,  3.2502, -0.1004,  0.0666,  0.1377,
         0.0000, -0.0521,  5.3082,  0.2392, -7.2479,  0.0000,  0.0000,  0.0000])","tensor([-2.3064,  0.0571, -0.0111, -0.0376,  5.1769, -9.2233, -0.0236,  0.0342,
         0.0614,  0.1398,  0.0194,  1.0464, -0.1515,  0.0000,  0.0000,  0.0000])","tensor([2.5678e+00, 5.6427e-01, 2.1990e-01, 4.6877e+00, 4.8580e+00, 7.0242e+00,
        1.1585e-01, 8.0202e-03, 2.3026e-02, 2.2438e-01, 1.1310e+01, 4.4352e+00,
        8.3376e+00, 4.1259e-01, 1.4466e+00, 2.0316e-01])"
"tensor([-0.0000, -6.1639,  0.0000, 23.5728,  0.0000, -0.0000,  0.0000, -0.0000,
         0.0000,  0.4329, -0.0000, -0.0000, 23.0739, -0.0000, -0.0000,  0.0000],
       dtype=torch.float64)","tensor([  0.9181,  -2.0914,  -1.8157,   9.2221,   3.3537,  -0.5274,  -0.3269,
         -2.9444,  -0.6811,  -1.2279, -11.9117, -11.9257,  19.0924,  -5.2486,
         -7.6267,  -0.1499], dtype=torch.float64)","tensor([-0.0000, -1.7604,  0.0000,  3.1129,  0.0000, -0.0000, -0.0000, -0.0000,
         0.0000, -1.2391, -0.0000, -0.0000, -2.3876,  0.0000, -0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([ 1.9000, -0.8784, -0.0376,  4.9377, -4.9370,  5.2815,  0.0000,  0.3851,
         0.0000, -0.3021,  5.4429,  2.1232,  5.3139,  0.0000,  0.0000,  0.0000])","tensor([-1.5266e-02, -1.1717e+00, -4.9461e-02,  1.5042e+01, -8.7494e-02,
         3.1021e-02, -2.4246e-02, -3.4943e-03, -4.9988e-02,  9.5718e-02,
         1.9194e-01,  3.7756e-01,  2.4202e+01,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([ 2.2361,  1.5761,  0.3791,  3.8808, 11.2624,  4.0585,  0.1198,  0.0957,
         0.0843,  0.1992,  5.2978,  1.9872,  1.8961,  0.4194,  0.3430,  0.8558])"
"tensor([ -0.0000,  -0.0000,  -0.6439,   6.7055,   0.0000,   0.4069,  -0.0000,
         -0.0000,   0.0000,   0.9174, -22.5433,   0.0000,   0.0000,   0.0000,
         -0.0000,   0.0000], dtype=torch.float64)","tensor([-1.0653e+00, -5.6434e-01, -6.7288e-01,  2.3025e+01, -2.5107e+00,
        -4.5661e+00, -7.2986e-02,  1.5472e-02,  9.5088e-01, -1.8151e-01,
        -3.0420e+01,  1.7773e+00,  1.3703e+01, -1.2205e+00, -2.0107e+00,
         1.2974e-01], dtype=torch.float64)","tensor([-0.0000, -0.0000,  0.0537,  0.0249,  0.0000,  2.7982, -0.0000, -0.0000,
         0.0000, -0.3837, -0.6177,  0.0000, -0.0000,  0.0000,  0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([ 9.8771e-01,  6.3256e-02, -3.7935e-02,  4.8200e-01, -3.1799e+00,
         1.5899e-01,  4.3246e-02, -2.5864e-02, -1.4362e-02,  1.5018e-01,
        -1.7354e+01, -2.5166e+00, -7.4661e+00,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([ 6.9084e-03,  4.1763e-02, -5.5801e-02,  8.8036e-01, -1.4656e-02,
         4.8115e-02,  2.1076e-02,  5.0087e-03,  6.2790e-03,  4.5288e-02,
        -2.5937e+01, -1.0464e-02,  7.3612e-02,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([1.8232, 0.9546, 0.0749, 1.1370, 3.2131, 0.1634, 0.0820, 0.1824, 0.0803,
        0.0587, 1.2990, 0.2260, 0.8750, 0.1656, 0.5810, 0.2918])"
"tensor([ -7.6023,  -1.8782,  -0.0000,   0.0000,  21.2423, -24.5447,  -0.0000,
         -0.0000,   0.0000,   0.8012,  -0.0000,  14.7984,   0.0000,   0.0000,
         -0.0000,   0.0000], dtype=torch.float64)","tensor([-5.5296e+00, -1.2936e+00,  1.9551e-02, -3.9485e+00,  2.3170e+01,
        -6.7454e+00,  1.7977e-01,  2.8593e-01, -6.8741e-02,  3.7410e-01,
        -2.3660e+01,  8.7211e+00,  7.3238e-01, -9.5958e-01,  5.1460e+00,
         2.9097e-01], dtype=torch.float64)","tensor([-0.9154, -0.8290, -0.0000,  0.0000,  4.5836, -4.7030, -0.0000, -0.0000,
         0.0000, -0.3115, -0.0000,  5.1798,  0.0000,  0.0000, -0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([-1.0975e+00, -1.1464e-01,  6.5750e-02, -2.2107e+00,  2.4697e+00,
        -4.0986e+00,  5.1423e-02,  8.3566e-02,  3.8373e-03,  1.9032e-02,
         0.0000e+00, -1.7926e-01, -4.4986e+00,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([-2.2912e+00, -6.3926e-01, -2.6321e-03, -4.0440e-02,  5.0958e+00,
        -9.1717e+00, -2.4010e-02,  4.0024e-02,  5.5481e-02,  1.6008e-01,
         4.7180e-02,  2.5623e+00, -1.8946e-01,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([ 2.5781,  0.6251,  0.2543,  5.0060,  4.5171,  7.2045,  0.1844,  0.0667,
         0.0292,  0.3355, 10.8673,  5.4980,  7.3225,  0.2655,  1.0972,  0.0821])"
"tensor([-0.0000e+00, -2.3057e+00, -1.7931e-02,  0.0000e+00,  2.2206e+01,
        -2.7353e+01, -0.0000e+00, -0.0000e+00,  0.0000e+00,  7.4567e-01,
        -0.0000e+00,  1.1591e+01,  0.0000e+00,  0.0000e+00, -0.0000e+00,
         0.0000e+00], dtype=torch.float64)","tensor([ -1.1241,  -1.9467,  -0.1555,  -1.8121,   9.8851, -17.6684,  -0.1436,
          0.5450,   0.1568,   0.2448,   5.9959,   1.7714,  13.2660,   0.2010,
          1.7014,  -0.4861], dtype=torch.float64)","tensor([-0.0000, -0.7625,  0.2968,  0.0000,  4.8186, -5.6808, -0.0000, -0.0000,
         0.0000, -0.4292, -0.0000,  3.5092,  0.0000,  0.0000, -0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([ 2.1000, -0.1392, -0.0305, -4.3550,  3.1692, -4.1115,  0.0349,  0.0289,
         0.0000, -0.0095,  0.0000,  0.6194, -7.6010,  0.0000,  0.0000,  0.0000])","tensor([ 5.7964e-02, -6.6598e-01, -1.2777e-01, -1.1066e-02,  5.5678e+00,
        -1.0247e+01, -3.1654e-02,  3.0743e-02,  2.2411e-02,  6.5193e-03,
         1.0930e-01,  1.0674e+00, -1.3998e-01,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([ 2.3107,  0.7115,  0.1180,  4.8545,  4.8740,  7.9502,  0.1269,  0.1270,
         0.0689,  0.0952, 10.4534,  3.8382,  9.3124,  0.2080,  1.4655,  0.1090])"
"tensor([-10.2859,  -3.6067,   0.0000,   0.0000,  23.0225,  -0.0000,  -0.2739,
         -0.0000,   0.1990,   0.0000,  -0.0000,   2.2937,   0.0000,  -0.0000,
         -0.0000,   0.0000], dtype=torch.float64)","tensor([-10.5485,  -1.4302,  -0.9332,   7.5208,  15.1204,  -6.9771,   0.0463,
          0.8385,  -0.4993,   0.0753,   6.6547,   1.0775,  18.4395,  -9.4883,
         -0.6259,   0.0816], dtype=torch.float64)","tensor([-2.2066e+00, -1.4280e+00,  0.0000e+00,  0.0000e+00,  4.4410e+00,
        -0.0000e+00, -9.6233e-01, -0.0000e+00, -3.5135e-03, -0.0000e+00,
        -0.0000e+00,  6.2338e-01,  0.0000e+00,  0.0000e+00, -0.0000e+00,
        -0.0000e+00], grad_fn=<UnbindBackward0>)","tensor([-2.1167, -0.4903,  0.0117, -4.0793,  5.1983,  3.8870, -0.0415,  0.1505,
        -0.1740, -0.1449,  6.6333,  1.1512, -2.1668,  0.0000,  0.0000,  0.0000])","tensor([-3.1899e+00, -7.1596e-01, -4.6547e-02, -2.1046e-02,  8.0791e+00,
         8.7425e-02, -6.3717e-02,  1.3943e-02, -6.1684e-03,  4.4861e-02,
        -1.7044e-01,  3.5100e+00, -1.0238e-01,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([ 3.8148,  1.1470,  0.2740,  9.2078,  4.7226,  7.9854,  0.1857,  0.0723,
         0.2071,  0.1761, 13.3030,  0.5325, 11.3070,  0.3033,  0.2243,  0.2642])"
"tensor([ -6.7438,  -0.0000,  -0.3578,  27.2728,   0.0000, -18.5444,   0.0000,
         -0.0000,   0.3133,   0.0000,  -0.0000,   3.1159,   0.0000,  -0.0000,
         -0.0000,   0.0000], dtype=torch.float64)","tensor([-6.0706e+00, -4.4256e-01, -7.6507e-01,  1.5951e+01, -2.3239e+00,
        -2.0051e+01, -1.1988e-03, -2.6367e-01,  9.8911e-02, -3.8869e-01,
         3.7447e+00,  2.3583e+00,  1.5618e+01,  6.7823e-01,  2.3803e+00,
        -5.3675e-01], dtype=torch.float64)","tensor([-0.5526, -0.0000, -0.2083,  5.6625,  0.0000, -2.4118, -0.0000, -0.0000,
        -0.0125, -0.0000, -0.0000,  0.4084,  0.0000,  0.0000, -0.0000,  0.0000],
       grad_fn=<UnbindBackward0>)","tensor([-2.6116,  0.4023, -0.0796,  1.5281, -4.3135, -7.0297,  0.1640,  0.0241,
        -0.1595, -0.0370, -0.1432, -1.3528, -5.2739,  0.0000,  0.0000,  0.0000])","tensor([-1.8161e+00,  9.6115e-02, -9.2773e-02,  7.6474e+00, -7.9941e-02,
        -7.2980e+00, -7.8430e-03,  2.1168e-02,  3.2959e-03,  4.7138e-02,
         1.6319e-01, -4.0103e+00, -5.5275e-02,  0.0000e+00,  0.0000e+00,
         0.0000e+00])","tensor([2.0819e+00, 1.4024e-01, 2.4784e-01, 7.2556e+00, 4.4573e+00, 4.0234e+00,
        1.1153e-01, 2.0691e-02, 1.4569e-01, 2.3653e-01, 1.2186e+01, 7.5376e-01,
        1.1491e+01, 4.8519e-01, 3.4356e+00, 5.7293e-04])"
